image,id,name,xMin,xMax,yMin,yMax
92.16.png,1,basil leaf,595,760,267,352
92.16.png,2,pizza,256,405,357,459
97.8.png,1,rosemary,713,1230,406,670
97.8.png,2,pizza,498,628,213,330
101.84.png,1,rosemary,611,699,130,189
101.84.png,2,pizza,607,894,306,398
101.84.png,3,wooden board,1005,1169,469,592
104.08.png,1,rosemary,119,276,294,339
104.08.png,2,pizza slice,529,942,327,442
104.08.png,3,stove,799,1207,96,230
106.88.png,1,basil,878,1102,82,211
106.88.png,2,pizza,558,756,191,346
106.88.png,3,wooden board,68,211,117,232
106.88.png,4,cheese,1026,1177,363,535
107.8.png,1,rosemary,357,566,275,324
107.8.png,2,pizza,188,403,377,460
107.8.png,3,wooden board,751,974,602,673
109.8.png,1,ham,865,1051,205,269
109.8.png,2,rosemary,296,581,262,323
109.8.png,3,pizza,195,398,403,462
109.8.png,4,wooden board,123,268,599,662
109.8.png,5,pick up,1115,1274,183,237
112.04.png,1,basil,564,697,54,95
112.04.png,2,cheese,385,471,108,154
112.04.png,3,pizza,666,974,158,279
112.04.png,4,wooden board,172,487,438,638
117.12.png,1,basil,153,306,222,258
117.12.png,2,cheese,276,408,283,367
117.12.png,3,wooden board,905,1098,225,327
117.12.png,4,stove,1089,1221,20,102
117.12.png,5,pizza,462,789,406,487
122.24.png,1,stainless bowl,341,751,34,365
122.24.png,2,dough mixer,249,288,22,129
122.24.png,3,water,765,884,455,561
122.24.png,4,measuring cup,787,893,599,689
127.36.png,1,yeast,760,789,456,514
127.36.png,2,fork,815,962,315,530
127.36.png,3,stir,990,1125,253,364
127.36.png,4,stainless bowl,374,754,17,372
127.36.png,5,dough mixer,199,313,8,294
127.36.png,6,measuring cup,748,854,576,699
127.36.png,7,water,720,748,473,525
132.48.png,1,stainless bowl,354,706,22,340
132.48.png,2,stir,1003,1166,257,394
132.48.png,3,fork,898,992,314,492
132.48.png,4,water,790,830,461,539
132.48.png,5,dough mixer,231,322,33,295
132.48.png,6,measuring cup,761,890,578,708
132.48.png,7,yeast,742,777,471,533
141.84.png,1,olive oil,761,889,449,519
141.84.png,2,fork,833,917,272,423
141.84.png,3,stainless bowl,380,733,48,354
141.84.png,4,dough mixer,278,351,174,414
141.84.png,5,measuring cup,713,918,581,688
145.68.png,1,stir,1009,1143,229,353
145.68.png,2,fork,842,1009,327,524
145.68.png,3,stainless bowl,355,707,40,266
145.68.png,4,dough mixer,272,343,201,431
145.68.png,5,measuring cup,751,875,636,712
145.68.png,6,olive oil,763,831,461,528
145.68.png,7,water,890,933,545,577
145.68.png,8,yeast,720,749,489,555
147.2.png,1,flour,785,1063,462,665
147.2.png,2,stainless bowl,491,649,308,398
147.2.png,3,water,517,647,216,260
147.2.png,4,olive oil,440,501,195,240
147.2.png,5,yeast,652,712,169,216
147.2.png,6,dough mixer,230,384,239,397
147.2.png,7,pour,1066,1259,8,239
147.2.png,8,spoon,918,1079,268,394
150.84.png,1,pour,1030,1218,201,387
150.84.png,2,flour,664,811,453,510
150.84.png,3,spoon,873,1020,348,589
150.84.png,4,stainless bowl,410,634,69,113
150.84.png,5,flour,472,629,220,255
150.84.png,6,water,510,579,171,209
150.84.png,7,olive oil,634,700,180,225
