image,id,name,xMin,xMax,yMin,yMax
10.6773.png,1,peppermint,321,394,155,206
10.6773.png,2,ketchup,435,502,220,239
10.6773.png,3,pizza role,333,612,405,552
10.6773.png,4,ceramic dish,111,232,516,621
10.6773.png,5,fork,322,457,14,74
10.6773.png,6,knife,416,553,105,130
26.6933.png,1,bread,31,262,22,179
26.6933.png,2,cheese,178,287,320,401
26.6933.png,3,peppers,408,506,81,190
26.6933.png,4,onions,637,751,107,188
26.6933.png,5,carrots,853,985,106,204
26.6933.png,6,cooking oil,1078,1164,107,212
26.6933.png,7,pizza sauce,429,563,308,388
26.6933.png,8,garlic,721,845,338,423
26.6933.png,9,ketchup,957,1033,335,403
26.6933.png,10,pepper,78,142,602,663
26.6933.png,11,oregano,340,411,582,655
26.6933.png,12,salt,635,722,582,670
26.6933.png,13,vinegar,879,995,556,651
26.6933.png,14,chilli sauce,1131,1241,542,634
58.7253.png,1,pan,153,260,163,444
64.064.png,1,olive oil,784,966,17,102
64.064.png,2,v_pour,1068,1221,55,92
64.064.png,3,pan,99,219,222,388
69.1357.png,1,onion,706,860,388,522
69.1357.png,2,v_put,875,1097,33,163
69.1357.png,3,steel pan,285,402,199,310
69.4027.png,1,v_stir,454,556,24,257
69.4027.png,2,onion,285,367,394,471
69.4027.png,3,oil,660,792,354,440
69.4027.png,4,steel pan,725,756,57,125
80.08.png,1,garlic,695,911,278,375
80.08.png,2,onion,928,1122,124,248
80.08.png,3,oil,399,533,338,418
80.08.png,4,steel pan,299,442,65,117
85.4187.png,1,v_fry,897,992,29,81
85.4187.png,2,wooden spatula,856,925,103,148
85.4187.png,3,onion,758,928,505,628
85.4187.png,4,garlic,670,765,307,372
85.4187.png,5,oil,590,709,94,162
85.4187.png,6,steel pan,189,270,467,624
90.7573.png,1,carrots,673,873,117,276
90.7573.png,2,peppers,547,636,301,430
90.7573.png,3,garlic,328,410,312,394
90.7573.png,4,onion,1041,1158,128,313
90.7573.png,5,oil,519,631,558,645
90.7573.png,6,steel pan,125,215,222,361
96.096.png,1,wooden spatula,1042,1119,425,552
96.096.png,2,fry,1094,1156,177,300
96.096.png,3,peppers,316,420,379,521
96.096.png,4,carrots,384,523,266,351
96.096.png,5,onion,414,600,143,205
96.096.png,6,carrots,541,655,521,597
96.096.png,7,oil,895,948,107,158
96.096.png,8,steel pan,128,214,203,323
117.451.png,1,chilli sauce,873,1006,221,319
117.451.png,2,ketchup,739,879,363,470
117.451.png,3,pepper,674,774,111,195
117.451.png,4,carrot,556,635,400,492
117.451.png,5,garlic,421,504,27,76
117.451.png,6,onion,336,400,192,256
122.789.png,1,pizza sauce,480,663,153,292
122.789.png,2,ketchup,746,907,374,468
122.789.png,3,chilli sauce,876,979,242,328
128.128.png,1,pepper,620,782,233,357
128.128.png,2,pizza sauce,440,538,234,337
128.128.png,3,ketchup,837,904,282,370
128.128.png,4,chilli sauce,886,987,217,313
133.467.png,1,oregano,522,617,133,250
133.467.png,2,vinegar,413,433,48,317
133.467.png,3,pepper,692,799,275,381
133.467.png,4,pizza sauce,391,459,437,551
133.467.png,5,ketchup,735,886,402,483
133.467.png,6,chilli sauce,907,949,238,263
138.805.png,1,v_mix,709,916,22,182
149.483.png,1,flour,485,696,338,519
149.483.png,2,glass bowl,479,703,237,290
160.16.png,1,spoon,620,656,12,246
160.16.png,2,water,442,495,382,466
160.16.png,3,flour,539,641,439,540
160.16.png,4,glass bowl,427,551,266,310
165.499.png,1,,441,744,316,465
165.499.png,2,glass bowl,356,431,191,239
167.868.png,1,cheese,333,459,41,134
167.868.png,2,glass bowl,282,348,279,381
167.868.png,3,stuffing,442,699,330,500
170.837.png,1,v_mix,880,1051,145,312
170.837.png,2,cheese,636,785,166,274
170.837.png,3,stuffing,449,530,284,338
170.837.png,4,glass bowl,341,449,110,145
176.176.png,1,bread,710,1041,96,408
176.176.png,2,stuffing,220,347,42,138
176.176.png,3,ceramic dish,1035,1249,526,661
176.176.png,4,water,323,452,470,569
176.176.png,5,flour,304,414,594,645
176.176.png,6,spoon,35,213,252,456
186.853.png,1,knife,724,923,14,310
186.853.png,2,v_cut,1002,1151,134,275
186.853.png,3,bread,817,1022,498,638
186.853.png,4,stuffing,224,402,54,150
186.853.png,5,water,325,423,446,529
186.853.png,6,flour,323,446,539,617
202.869.png,1,rolling pin,662,856,68,438
202.869.png,2,v_flatten,728,882,505,644
202.869.png,3,stuffing,145,291,51,185
202.869.png,4,water,217,307,457,568
202.869.png,5,flour,202,268,590,642
218.885.png,1,stuffing,642,735,183,400
218.885.png,2,v_place,691,746,12,128
218.885.png,3,bread,767,862,187,385
234.901.png,1,v_roll,710,797,136,415
240.24.png,1,v_seal,517,691,46,198
261.595.png,1,v_put,885,959,16,228
261.595.png,2,water,992,1082,183,305
261.595.png,3,flour,906,977,279,332
261.595.png,4,stuffing,656,749,205,355
261.595.png,5,bread,552,619,205,402
266.933.png,1,v_paste,779,899,153,422
266.933.png,2,flour,1155,1244,235,289
266.933.png,3,water,1154,1266,302,379
266.933.png,4,bread,546,599,179,356
266.933.png,5,stuffing,656,717,215,340
282.949.png,1,frying oil,473,577,189,279
282.949.png,2,steel pan,932,1067,30,147
288.288.png,1,v_fry,668,743,92,324
288.288.png,2,oil,398,475,291,389
288.288.png,3,steel pan,1014,1110,67,188
296.83.png,1,bread roll,475,926,181,297
296.83.png,2,oil,968,1045,233,345
296.83.png,3,v_fry,535,672,96,146
325.659.png,1,v_pickup,649,863,234,338
325.659.png,2,bread roll,645,1103,518,574
330.997.png,1,peppermint,425,493,404,457
330.997.png,2,ketchup,552,597,416,493
330.997.png,3,bread roll,814,1001,268,539
