image,id,name,xMin,xMax,yMin,yMax
5.33867.png,1,pepperoni,902,999,163,220
5.33867.png,2,cheese bite,617,722,525,659
5.33867.png,3,cheese,479,563,145,241
21.3547.png,1,dough,360,991,129,472
21.3547.png,2,olive oil,301,436,531,678
21.3547.png,3,glass bowl,116,240,234,390
37.3707.png,1,tomato paste,536,890,429,641
37.3707.png,2,pepperoni,58,168,382,536
37.3707.png,3,cheese,403,655,28,138
46.6132.png,1,string cheese,623,865,196,444
46.6132.png,2,water,63,245,67,202
46.6132.png,3,yeast,257,311,63,145
62.8962.png,1,pizza pan,676,950,522,667
62.8962.png,2,dough,366,660,257,361
62.8962.png,3,v_spread,406,673,15,202
101.435.png,1,string cheese,415,833,479,597
101.435.png,2,v_place,45,227,266,407
101.435.png,3,dough,523,768,174,314
138.805.png,1,knife,615,698,276,660
138.805.png,2,v_cut,440,715,21,176
138.805.png,3,dough,835,949,299,379
138.805.png,4,pan,944,1131,648,717
160.16.png,1,v_twist,716,904,235,352
160.16.png,2,dough,418,582,194,338
160.16.png,3,pan,289,491,548,643
192.192.png,1,tomato paste,328,490,107,210
192.192.png,2,string cheese,916,953,108,148
192.192.png,3,dough,720,823,233,316
192.192.png,4,wooden spoon,529,598,7,135
197.531.png,1,v_place,586,709,3,258
197.531.png,2,tomato paste,491,710,287,365
197.531.png,3,dough,833,966,221,380
208.208.png,1,v_spread,453,646,192,294
208.208.png,2,tomato paste,717,864,186,294
234.901.png,1,cheese,318,533,398,565
234.901.png,2,v_sprinkle,469,640,5,133
234.901.png,3,tomato paste,842,962,117,209
234.901.png,4,string cheese,1043,1160,68,127
266.933.png,1,pepperoni,769,938,305,439
266.933.png,2,cheese,418,603,180,336
266.933.png,3,v_place,767,1018,27,265
303.77.png,1,pepperoni,546,660,247,303
303.77.png,2,cheese,585,642,341,396
303.77.png,3,cheese bite,353,471,489,594
309.109.png,1,v_brush,603,702,134,423
309.109.png,2,olive oil,647,747,434,478
309.109.png,3,wooden brush,606,661,21,89
357.157.png,1,sausage,749,863,151,272
