image,id,name,xMin,xMax,yMin,yMax
32.032.png,1,tomato,293.0,330.0,502.0,514.0
32.032.png,2,blender,307.0,366.0,227.0,333.0
32.032.png,3,olive oil,127.0,157.0,297.0,333.0
51.6516.png,1,tomato,367.0,378.0,378.0,407.0
51.6516.png,2,blender,324.0,388.0,243.0,327.0
53.5201.png,1,blender,163.0,246.0,191.0,352.0
53.5201.png,2,tomato,344.0,362.0,121.0,156.0
53.5201.png,3,tomato,605.0,627.0,58.0,72.0
53.5201.png,4,tomato,639.0,695.0,485.0,521.0
56.8234.png,1,put tomatos into blende,328.0,391.0,174.0,298.0
56.8234.png,2,tomato,382.0,403.0,156.0,175.0
56.8234.png,3,tomato,531.0,566.0,332.0,353.0
56.8234.png,4,blender lid,440.0,475.0,361.0,395.0
56.8234.png,5,tomato,303.0,332.0,499.0,527.0
57.7577.png,1,blendet,151.0,196.0,335.0,408.0
57.7577.png,2,tomato,680.0,758.0,479.0,523.0
57.7577.png,3,tomato,378.0,394.0,38.0,71.0
57.7577.png,4,tomato,210.0,231.0,246.0,280.0
60.8274.png,1,cover blender with the lid,341.0,403.0,197.0,260.0
60.8274.png,2,blender lid,308.0,320.0,205.0,223.0
60.8274.png,3,tomato,361.0,382.0,308.0,324.0
60.8274.png,4,blender,321.0,400.0,363.0,426.0
60.8274.png,5,start blender,426.0,465.0,366.0,416.0
64.6312.png,1,blended tomato,184.0,240.0,178.0,284.0
64.6312.png,2,blender,175.0,254.0,363.0,441.0
64.6312.png,3,tomato,672.0,709.0,499.0,533.0
66.1995.png,1,blended tomato,331.0,379.0,267.0,329.0
66.1995.png,2,blender,382.0,430.0,388.0,446.0
66.1995.png,3,blender lid,320.0,365.0,193.0,217.0
66.1995.png,4,tomato,315.0,339.0,493.0,525.0
66.1995.png,5,change speed of the blender,440.0,471.0,382.0,443.0
68.9022.png,1,blended tomato,172.0,200.0,259.0,296.0
68.9022.png,2,blender,174.0,231.0,372.0,424.0
68.9022.png,3,blender lid,154.0,170.0,10.0,29.0
68.9022.png,4,tomato,674.0,723.0,497.0,526.0
68.9022.png,5,take one tomato,496.0,579.0,480.0,522.0
71.5381.png,1,pour the tomato in the blender,328.0,384.0,165.0,231.0
71.5381.png,2,blended tomato,322.0,368.0,290.0,338.0
71.5381.png,3,blender,340.0,393.0,393.0,447.0
71.5381.png,4,blender lid,339.0,354.0,100.0,111.0
76.8768.png,1,blender lid,176.0,199.0,39.0,62.0
76.8768.png,2,put the lid on the blender,232.0,262.0,62.0,104.0
76.8768.png,3,blended tomato,158.0,192.0,190.0,240.0
76.8768.png,4,blender,150.0,200.0,385.0,434.0
80.6472.png,1,start the blender,312.0,363.0,399.0,462.0
80.6472.png,2,hold the blender lid,170.0,214.0,10.0,55.0
80.6472.png,3,blended tomato,162.0,198.0,135.0,231.0
80.6472.png,4,blender,168.0,202.0,395.0,436.0
80.6472.png,5,lid,265.0,282.0,52.0,75.0
83.717.png,1,blended tomato,173.0,189.0,157.0,208.0
83.717.png,2,blender,189.0,237.0,389.0,458.0
86.453.png,1,blended tomato,364.0,375.0,261.0,299.0
86.453.png,2,blender,319.0,361.0,381.0,427.0
96.4297.png,1,pizza dough,372.0,406.0,232.0,273.0
96.4297.png,2,pizza dough,813.0,878.0,223.0,252.0
101.435.png,1,blended tomato,171.0,224.0,191.0,252.0
101.435.png,2,pizza dough,347.0,391.0,113.0,175.0
101.435.png,3,pizza dough,706.0,743.0,281.0,334.0
112.112.png,1,oven tray,537.0,613.0,387.0,451.0
112.112.png,2,blended tomato,328.0,372.0,256.0,311.0
113.814.png,1,oven tray,514.0,571.0,343.0,377.0
113.814.png,2,blended tomato,328.0,369.0,260.0,316.0
117.017.png,1,oven tray,749.0,805.0,244.0,314.0
117.017.png,2,blended tomato,137.0,174.0,182.0,260.0
121.154.png,1,oil spray,463.0,494.0,291.0,347.0
121.154.png,2,blended tomato,171.0,191.0,133.0,172.0
121.154.png,3,oven tray,931.0,955.0,432.0,472.0
122.956.png,1,blended tomato,328.0,365.0,266.0,309.0
122.956.png,2,pizza dough,428.0,466.0,308.0,351.0
122.956.png,3,oil spray,484.0,493.0,295.0,326.0
126.526.png,1,pizza dough,481.0,549.0,73.0,144.0
126.526.png,2,oven tray,332.0,389.0,403.0,450.0
126.526.png,3,take the dough out of the package,404.0,467.0,5.0,68.0
126.526.png,4,tomato sauce,17.0,46.0,199.0,291.0
127.594.png,1,pizza dough,403.0,448.0,170.0,211.0
127.594.png,2,take the dough out of the package,410.0,483.0,135.0,192.0
127.594.png,3,tomato sauce,21.0,46.0,195.0,238.0
127.594.png,4,oven tray,396.0,495.0,394.0,463.0
131.865.png,1,pizza dough,208.0,244.0,360.0,375.0
131.865.png,2,oven tray,280.0,325.0,472.0,506.0
131.865.png,3,take dough out of package,284.0,332.0,326.0,373.0
131.865.png,4,tomato sauce,202.0,213.0,237.0,266.0
133.734.png,1,pizza dough,293.0,355.0,329.0,364.0
133.734.png,2,tomato sauce,234.0,264.0,254.0,283.0
133.734.png,3,oven tray,228.0,244.0,482.0,492.0
135.902.png,1,pizza dough,449.0,507.0,155.0,193.0
135.902.png,2,tomato sauce,6.0,47.0,182.0,275.0
135.902.png,3,oven tray,386.0,441.0,392.0,438.0
150.117.png,1,pizza dough,396.0,428.0,138.0,165.0
150.117.png,2,blended tomato,9.0,52.0,195.0,253.0
150.117.png,3,extend the dough with your hands,376.0,440.0,42.0,95.0
150.117.png,4,oven tray,326.0,396.0,400.0,465.0
151.618.png,1,blended tomato,238.0,275.0,282.0,304.0
151.618.png,2,pizza dough,312.0,339.0,279.0,318.0
151.618.png,3,oven tray,287.0,342.0,474.0,524.0
151.618.png,4,extend the dough with your hands,274.0,331.0,187.0,249.0
162.295.png,1,pizza dough,369.0,399.0,85.0,96.0
162.295.png,2,blended tomato,8.0,60.0,151.0,262.0
162.295.png,3,oven tray,413.0,442.0,436.0,471.0
162.295.png,4,extend the dough with your hands,307.0,417.0,87.0,275.0
183.65.png,1,extend the dough with your hands,519.0,585.0,144.0,195.0
183.65.png,2,pizza dough,592.0,616.0,161.0,177.0
183.65.png,3,blended tomato,21.0,54.0,195.0,273.0
183.65.png,4,oven tray,376.0,434.0,428.0,463.0
189.79.png,1,pizza dough,590.0,654.0,104.0,171.0
189.79.png,2,blended tomato,33.0,60.0,167.0,224.0
189.79.png,3,oven tray,323.0,404.0,409.0,482.0
189.79.png,4,extend the dough with your hands,492.0,560.0,57.0,120.0
194.027.png,1,pizza dough,339.0,380.0,451.0,464.0
194.027.png,2,blended tomato,224.0,265.0,258.0,288.0
194.027.png,3,oven tray,215.0,259.0,482.0,516.0
194.027.png,4,extend the dough with your hands,341.0,477.0,208.0,243.0
203.937.png,1,oven tray,212.0,250.0,454.0,475.0
